sample_id,reason
PAT_202_307_424.png,conflicting_exact_duplicate
PAT_202_308_721.png,conflicting_exact_duplicate
PAT_302_650_477.png,conflicting_exact_duplicate
PAT_302_651_529.png,conflicting_exact_duplicate
PAT_311_666_191.png,conflicting_exact_duplicate
PAT_311_667_416.png,conflicting_exact_duplicate
PAT_38_1002_34.png,conflicting_exact_duplicate
PAT_38_1002_668.png,conflicting_exact_duplicate
PAT_38_1003_226.png,conflicting_exact_duplicate
PAT_38_1003_68.png,conflicting_exact_duplicate
PAT_419_2767_323.png,conflicting_exact_duplicate
PAT_419_833_148.png,conflicting_exact_duplicate
PAT_528_993_589.png,redundant_exact_duplicate
PAT_56_86_479.png,conflicting_exact_duplicate
PAT_56_88_274.png,conflicting_exact_duplicate
PAT_570_1084_637.png,conflicting_exact_duplicate
PAT_570_1084_939.png,conflicting_exact_duplicate
PAT_570_1085_344.png,conflicting_exact_duplicate
PAT_570_1085_429.png,conflicting_exact_duplicate
PAT_691_1311_2.png,conflicting_exact_duplicate
PAT_691_1311_890.png,conflicting_exact_duplicate
PAT_691_3994_671.png,conflicting_exact_duplicate
PAT_691_3994_791.png,conflicting_exact_duplicate
PAT_701_4056_457.png,redundant_exact_duplicate
PAT_759_1433_914.png,conflicting_exact_duplicate
PAT_759_1538_566.png,conflicting_exact_duplicate
PAT_834_1574_276.png,redundant_exact_duplicate
